default,student,balance,income
0,Yes,184.9252469,11126.26618
0,No,746.8365105,41294.45225
0,No,488.7211263,46503.16615
0,No,1171.163313,27338.00271
0,No,797.8653933,43717.06841
0,No,1322.093977,51845.1804
0,No,831.58733,32203.27184
0,No,1092.530775,43482.7882
0,No,1798.778917,57191.63224
1,No,1166.798527,30367.61086
0,Yes,618.7567523,18297.32777
1,No,1631.615617,38906.95641
0,Yes,412.3886362,9892.127549
0,Yes,697.1713264,22254.06196
0,No,890.149841,38350.29242
0,No,51.07230207,38764.39468
0,No,572.0040551,42484.57059
1,No,1865.635779,49604.88213
0,Yes,776.54428,14229.72812
0,Yes,906.0337005,22658.76333
0,No,289.531497,36841.99817
0,No,1063.592329,38057.33357
0,No,395.4755073,45084.10562
1,No,1278.4073,36675.60688
0,No,1060.728841,49396.77194
0,No,29.6164765,26710.00957
1,Yes,1572.856481,14930.17833
0,No,1387.288646,29712.77243
0,Yes,246.081819,20046.77246
0,No,80.71492577,37651.56783
0,Yes,2149.336812,15093.82753
1,Yes,2291.617688,20837.20945
0,Yes,625.6011998,16134.21151
0,No,264.0160964,45987.47391
0,No,927.6159508,40618.11065
0,Yes,1867.552268,16650.04176
0,No,426.7641498,38495.79802
0,No,1902.1499,35008.66617
0,No,996.1819846,57972.50444
0,No,898.895728,41268.31261
0,No,316.0175119,39959.93
0,No,1295.613346,39717.73601
1,Yes,1473.034561,18108.96167
1,No,1234.102021,43764.86864
0,No,1038.700266,33783.71422
0,No,1635.202902,31541.09404
0,No,0,39469.92899
1,Yes,1726.47961,13654.60494
0,Yes,180.620128,20975.5605
0,Yes,1215.470014,20456.43829
0,No,844.4654791,44518.39527
0,No,522.7744089,37481.68219
1,No,1700.599913,30488.98341
0,Yes,237.1635864,25219.98306
1,Yes,1878.001146,17473.18399
0,Yes,966.4818283,23116.58021
1,No,2033.19179,44998.28744
0,No,663.6637928,51135.08626
0,No,1402.242717,32742.27061
0,No,581.0035694,52917.72944
1,No,1562.454585,43067.33374
0,No,733.0760867,40056.10037
0,Yes,389.2132418,22907.76746
0,No,727.974547,20456.15639
0,No,908.9987947,46174.47106
0,No,0,42616.60157
1,Yes,1530.551479,13003.9292
0,Yes,1180.018086,19871.20674
0,Yes,641.8936456,16400.36475
0,Yes,1463.378451,14380.62531
1,Yes,1707.914634,10591.71742
0,No,575.6740578,36958.75241
0,No,1132.174903,56152.42904
1,No,1750.25315,51578.94016
0,Yes,482.1352042,17459.00419
0,Yes,0,16156.02912
0,No,825.9559447,31661.62599
0,No,1018.56813,34103.87952
0,No,796.0250533,38443.89641
0,No,1433.992327,19864.97538
0,Yes,553.4557368,21358.42066
1,Yes,2004.394001,18860.84665
0,No,457.6015016,49908.59744
0,No,1558.861075,45255.96711
0,No,1139.020309,24573.92095
0,No,1579.909363,45406.51155
1,No,1903.667219,41173.50399
1,No,1899.546842,46076.23711
1,No,1165.539853,50341.5739
0,No,149.2232188,36550.33346
0,No,0,50559.47075
1,No,1825.970599,39407.91703
0,No,0,48112.47827
0,Yes,785.8549597,19188.91423
0,No,1069.719857,34538.99742
0,No,870.9717257,39653.37672
0,No,564.3948535,30380.64
0,Yes,655.5101263,15771.49243
0,No,1124.966527,50701.72754
0,No,0,62160.28622
0,No,445.8292876,42343.80068
0,No,218.5898068,34512.63347
0,Yes,842.2559874,23310.22886
0,No,1322.969042,51956.29183
1,No,1496.07211,40214.62083
0,No,1186.885199,27494.32937
0,Yes,102.2830716,20671.04721
0,No,1082.169496,54099.91952
0,No,1111.958143,47254.68959
0,Yes,1205.945041,12950.81643
0,No,481.7778056,34478.9529
0,No,221.5467559,43668.39232
1,No,1505.831475,29525.7494
0,No,0,31722.32967
1,Yes,1681.481506,10155.32399
0,No,907.633104,28577.09655
0,Yes,1189.46474,17287.63921
0,Yes,514.3349873,27443.97525
0,No,456.3730188,47633.78544
1,No,1711.169093,18579.10247
0,Yes,948.8804092,8503.602563
0,No,453.6482324,32178.62217
1,No,1374.474712,35805.70886
0,Yes,1070.75212,11383.44265
0,Yes,810.1022252,15102.32418
0,No,252.1069537,38494.65469
1,Yes,1721.973027,15179.74933
0,Yes,1032.625789,21122.95701
0,No,763.5347298,49201.4347
0,Yes,1634.269726,18036.63059
1,No,1661.752645,21871.46297
0,Yes,1700.572366,20844.71916
0,No,0,41359.89161
0,No,265.5928459,24833.34159
0,No,868.7298917,40902.42961
1,No,2202.462395,47287.25711
1,No,1801.801183,24152.26483
0,Yes,596.539256,9518.832332
0,No,445.7173734,25171.86035
1,No,1408.438085,48012.91357
0,No,297.2430337,39081.9229
1,No,2005.575128,36636.00859
0,No,75.39869065,50551.03646
1,No,961.732662,27600.4163
0,Yes,317.2679998,17801.53722
0,No,1363.310379,35387.69892
1,No,1550.449264,56273.51361
0,No,541.9440018,37640.30026
0,No,1678.118466,41813.89234
0,No,454.4881463,39608.32287
0,No,860.7512943,36605.23178
0,Yes,811.6886759,20016.75253
0,Yes,1740.87005,17478.03129
0,Yes,46.01022532,13950.08695
0,Yes,100.355433,13940.60266
1,Yes,2086.536165,17893.72137
0,No,476.3012118,25774.48762
0,No,729.2259909,35633.50292
0,No,850.3855684,45530.37706
0,No,0,22074.49369
0,No,1375.384954,47099.20687
0,No,503.3018571,37749.52078
0,No,337.1756682,35040.94162
0,No,948.705393,14095.80961
0,Yes,533.9165429,21390.68662
0,No,307.7305626,48123.55105
1,No,1914.106962,55573.70171
0,No,851.5646599,33211.1755
0,No,1486.201068,51021.61436
1,No,1412.192448,37283.0081
1,No,1610.484015,35589.73383
0,No,218.4175592,25401.13312
0,No,763.0399763,35277.90178
0,No,797.3166569,35034.80691
0,Yes,1095.612002,10450.74488
0,No,604.8395243,27419.42522
0,No,528.6768448,39925.18474
0,No,781.2749578,53178.9268
0,No,0,47231.27308
0,No,278.7031614,30113.85339
1,No,652.3971344,46155.04387
0,Yes,889.6422514,16701.36935
0,No,1400.163187,52343.47718
0,No,507.9075264,45727.76853
0,Yes,1298.511809,20491.77034
0,No,0,34836.3407
1,No,1465.210164,58699.9832
0,No,0,43930.90369
0,No,1763.84564,36686.34837
0,No,288.8079496,30470.70701
0,No,1176.791505,30579.24922
0,No,626.1681253,35196.07823
0,No,982.2264655,38152.69661
0,No,418.2996428,49670.02198
1,Yes,1807.705844,21849.48163
1,Yes,1570.65878,16239.15317
1,Yes,1504.290178,13965.18604
0,Yes,801.7215785,18698.40928
0,No,1074.01591,50491.26051
1,Yes,1402.205727,15964.20918
1,No,1721.434918,41999.70334
0,Yes,1407.040124,25589.74276
0,No,1626.169419,32827.70286
0,No,452.3679123,29254.87102
1,No,1981.451815,28127.89547
0,Yes,1426.014177,20779.67893
0,No,1274.79655,18044.82312
1,No,1819.249095,49621.05617
0,No,572.6658576,42285.2853
0,Yes,1847.469647,19388.68931
0,No,0,36337.35217
0,No,157.6604751,42125.73361
0,No,1063.724503,26045.92836
0,No,969.3588374,46026.71937
0,No,1004.125407,53397.392
0,No,926.166134,41501.72338
0,No,1418.556174,33960.56774
1,Yes,2502.684931,14947.51975
0,No,1024.819477,40380.29796
1,Yes,1500.894533,15802.23288
0,No,250.9888204,33568.53155
0,No,1659.292191,36641.72723
0,No,256.4389848,40227.38208
0,No,1293.297606,65128.40453
0,Yes,0,18875.77167
0,No,0,44464.29729
1,Yes,1774.694223,20359.50609
1,Yes,2182.348954,22037.85969
0,No,596.1826889,55591.05892
0,Yes,339.6950982,27387.26248
0,No,496.3754784,33782.5372
0,No,18.29458177,43247.90342
0,Yes,0,18251.72562
0,No,1359.802139,46235.23536
0,No,935.6365984,21730.86127
0,Yes,1134.696572,20068.01855
0,No,629.2718914,35695.08861
0,No,1410.959915,58310.25593
0,No,0,54659.16319
0,No,0,56943.90944
