Income,Years at company,Position,Job Satisfaction
87143.67,3,Clerical,12.4
91621.01,5,Manager,16.7
76902.6,3,Labourer,10.1
83517.49,3,Clerical,16.1
72886.44,3,Labourer,13.8
76759.99,3,Labourer,12.7
86570.29,4,Clerical,14.1
70338.55,3,Clerical,10.4
74991.35,1,Labourer,12.5
45839.44,2,Labourer,12.1
85625.05,5,Labourer,19.5
79634.43,4,Clerical,14.7
88956.11,6,Labourer,15.2
66659.63,7,Clerical,15.5
80807.73,6,Labourer,13.7
82360.37,6,Clerical,14.2
89366.74,5,Labourer,14.1
89554.84,4,Clerical,12.8
67010.56,5,Labourer,17.3
86020.15,5,Manager,16.7
91905.18,7,Manager,19.7
74853.21,8,Labourer,19.5
95573.55,8,Clerical,19.9
107721.56,6,Manager,18.2
94006.17,7,Manager,18.3
100919.75,5,Manager,19.4
96322.43,7,Manager,16.7
88684.38,7,Manager,20.4
98964.31,7,Manager,19.6
107868.79,6,Manager,19.4
