Week,afl
16/08/2020,43
23/08/2020,52
30/08/2020,52
6/09/2020,57
13/09/2020,53
20/09/2020,43
27/09/2020,50
4/10/2020,38
11/10/2020,44
18/10/2020,76
25/10/2020,20
1/11/2020,14
8/11/2020,17
15/11/2020,8
22/11/2020,7
29/11/2020,7
6/12/2020,15
13/12/2020,6
20/12/2020,5
27/12/2020,4
3/01/2021,5
10/01/2021,5
17/01/2021,5
24/01/2021,6
31/01/2021,7
7/02/2021,7
14/02/2021,7
21/02/2021,10
28/02/2021,15
7/03/2021,17
14/03/2021,46
21/03/2021,53
28/03/2021,61
4/04/2021,65
11/04/2021,58
18/04/2021,57
25/04/2021,61
2/05/2021,56
9/05/2021,54
16/05/2021,59
23/05/2021,56
30/05/2021,56
6/06/2021,46
13/06/2021,51
20/06/2021,50
27/06/2021,53
4/07/2021,52
11/07/2021,54
18/07/2021,54
25/07/2021,45
1/08/2021,47
8/08/2021,56
15/08/2021,59
22/08/2021,59
29/08/2021,49
5/09/2021,48
12/09/2021,28
19/09/2021,75
26/09/2021,19
3/10/2021,17
10/10/2021,13
17/10/2021,8
24/10/2021,7
31/10/2021,6
7/11/2021,6
14/11/2021,7
21/11/2021,15
28/11/2021,6
5/12/2021,6
12/12/2021,5
19/12/2021,4
26/12/2021,4
2/01/2022,4
9/01/2022,4
16/01/2022,4
23/01/2022,5
30/01/2022,6
6/02/2022,6
13/02/2022,8
20/02/2022,10
27/02/2022,13
6/03/2022,14
13/03/2022,50
20/03/2022,54
27/03/2022,48
3/04/2022,53
10/04/2022,57
17/04/2022,52
24/04/2022,62
1/05/2022,53
8/05/2022,45
15/05/2022,49
22/05/2022,49
29/05/2022,46
5/06/2022,48
12/06/2022,54
19/06/2022,51
26/06/2022,52
3/07/2022,55
10/07/2022,56
17/07/2022,56
24/07/2022,59
31/07/2022,55
7/08/2022,56
14/08/2022,68
21/08/2022,53
28/08/2022,66
4/09/2022,54
11/09/2022,58
18/09/2022,87
25/09/2022,20
2/10/2022,18
9/10/2022,17
16/10/2022,9
23/10/2022,7
30/10/2022,6
6/11/2022,6
13/11/2022,7
20/11/2022,7
27/11/2022,15
4/12/2022,8
11/12/2022,6
18/12/2022,4
25/12/2022,4
1/01/2023,4
8/01/2023,5
15/01/2023,5
22/01/2023,6
29/01/2023,7
5/02/2023,7
12/02/2023,8
19/02/2023,12
26/02/2023,15
5/03/2023,14
12/03/2023,54
19/03/2023,63
26/03/2023,65
2/04/2023,67
9/04/2023,76
16/04/2023,59
23/04/2023,82
30/04/2023,66
7/05/2023,62
14/05/2023,57
21/05/2023,59
28/05/2023,58
4/06/2023,57
11/06/2023,64
18/06/2023,50
25/06/2023,58
2/07/2023,60
9/07/2023,62
16/07/2023,55
23/07/2023,62
30/07/2023,63
6/08/2023,69
13/08/2023,67
20/08/2023,66
27/08/2023,53
3/09/2023,65
10/09/2023,57
17/09/2023,67
24/09/2023,96
1/10/2023,22
8/10/2023,16
15/10/2023,15
22/10/2023,8
29/10/2023,7
5/11/2023,7
12/11/2023,10
19/11/2023,15
26/11/2023,6
3/12/2023,6
10/12/2023,6
17/12/2023,5
24/12/2023,4
31/12/2023,4
7/01/2024,5
14/01/2024,5
21/01/2024,5
28/01/2024,6
4/02/2024,8
11/02/2024,9
18/02/2024,12
25/02/2024,17
3/03/2024,44
10/03/2024,44
17/03/2024,53
24/03/2024,55
31/03/2024,61
7/04/2024,52
14/04/2024,54
21/04/2024,66
28/04/2024,55
5/05/2024,62
12/05/2024,54
19/05/2024,66
26/05/2024,57
2/06/2024,49
9/06/2024,62
16/06/2024,52
23/06/2024,52
30/06/2024,53
7/07/2024,54
14/07/2024,54
21/07/2024,60
28/07/2024,55
4/08/2024,56
11/08/2024,60
18/08/2024,61
25/08/2024,54
1/09/2024,57
8/09/2024,49
15/09/2024,59
22/09/2024,100
29/09/2024,21
6/10/2024,16
13/10/2024,16
20/10/2024,8
27/10/2024,8
3/11/2024,6
10/11/2024,9
17/11/2024,16
24/11/2024,7
1/12/2024,5
8/12/2024,5
15/12/2024,5
22/12/2024,4
29/12/2024,4
5/01/2025,4
12/01/2025,5
19/01/2025,6
26/01/2025,7
2/02/2025,9
9/02/2025,12
16/02/2025,14
23/02/2025,18
2/03/2025,28
9/03/2025,49
16/03/2025,52
23/03/2025,51
30/03/2025,47
6/04/2025,49
13/04/2025,56
20/04/2025,60
27/04/2025,51
4/05/2025,51
11/05/2025,52
18/05/2025,54
25/05/2025,45
1/06/2025,40
8/06/2025,46
15/06/2025,39
22/06/2025,36
29/06/2025,42
6/07/2025,43
13/07/2025,41
20/07/2025,47
27/07/2025,48
3/08/2025,53
10/08/2025,53
17/08/2025,42
