wage,age,education
109.1737891,33,6.5
125.0865552,55,11.1
113.6573065,38,8.1
121.4874336,60,10.5
121.0642023,62,9.5
114.4058959,22,6.5
106.8789475,44,7.7
118.7099022,60,7.9
126.2833752,45,8.6
137.9878701,41,10.8
132.90588,63,10.4
128.7838738,40,10
105.166348,50,6.8
119.8924665,46,9.4
116.2397677,25,8
134.8176195,60,11.8
117.1216433,31,7.9
102.6067569,22,5.4
121.1721785,35,6.5
127.8069565,63,9.5
131.0871514,60,11.4
124.7905431,51,8.2
114.4561286,49,8.9
132.8541015,65,11.3
135.3354381,50,13.7
124.5687276,52,8.9
123.9958902,44,9.8
127.4648036,47,9.8
117.6775881,33,6
114.8864505,27,7.1
145.4877932,63,14.4
126.7578298,61,12.2
122.0919778,51,10.2
132.2460886,56,9.9
100.2869399,21,2.4
119.2888859,42,11.3
109.7798127,54,7.6
120.8460949,30,9.1
135.978897,34,11.9
105.9405837,30,4.7
122.8709374,26,8.5
123.4950269,39,8.2
117.6052741,39,5.5
109.1800837,37,5.4
103.7400905,27,4
102.5838132,26,6.1
106.946638,30,4.7
123.1907497,41,10.3
127.1299521,32,12
118.8504688,59,8.5
123.7747159,22,8.2
116.0862576,40,10.3
127.7636036,56,11.4
108.0831864,25,5
117.7339621,45,9.2
115.8195147,29,6.9
120.7571496,26,8.2
123.7848192,54,9.7
123.870509,60,13.2
129.8072907,37,7.7
131.3235037,50,12.1
110.0559664,24,4.8
112.0188325,37,5.9
145.1733662,32,14.3
129.0882972,57,10
121.8510341,40,9.4
133.8908389,56,12
119.9229558,57,9.9
135.5846151,56,11.8
120.9448083,40,9.5
137.0838668,54,10
116.3947555,48,9.9
123.3800638,52,10.2
131.5768993,20,10.7
118.4506627,41,7.4
105.9525948,30,5.4
114.7660963,37,8.5
127.1223785,48,10.4
122.1284629,36,9.2
102.3985938,25,6.1
109.7727553,31,5.6
134.7011516,50,12.5
118.873632,39,8
115.8749148,55,8.9
115.1306664,25,6.5
126.2928507,40,8.4
140.931182,64,13.9
124.2220576,60,11.4
132.2717727,60,12.7
114.1305181,28,6.4
113.0147718,26,7.5
111.4117683,49,9.2
123.8212541,35,8.4
114.5526119,50,8.2
106.3821986,34,5.5
137.419503,28,11.4
127.4292754,55,11.8
109.6286577,24,4.4
110.6465856,41,7.7
112.027288,43,6.8
138.6322199,47,14
121.9567429,35,10.8
116.5762587,42,8.5
133.9557922,63,12.6
122.0534798,42,8.2
117.4472673,60,10.2
122.2012288,61,9.7
123.5320322,47,8.5
128.9559542,38,11.9
115.9864596,27,7.1
133.4111429,62,11.7
121.4391751,34,8.6
125.4662884,23,9.2
126.1364567,63,10.5
116.9816174,52,8.3
113.5342552,26,10.5
119.2852949,45,8.5
127.5014235,63,10.1
117.1769942,46,7
108.2236082,38,6
129.3475145,49,8.7
123.9821221,34,9.3
126.6815793,34,10.3
127.8613339,30,9
113.3576689,37,7.7
129.0483069,64,11.8
122.2872624,27,5.8
108.9556459,24,5.4
129.3178421,26,8.9
111.1574668,51,8.1
136.997416,48,13.7
130.3921195,60,11
127.9001927,50,10.4
116.1218187,53,8.9
118.0962964,43,8
110.5128967,50,7.4
130.3135166,57,10.5
135.3238754,55,11.4
121.9250615,64,12.3
121.3784673,40,7.2
106.5447775,34,6.5
118.8738463,38,7.6
126.1995132,20,9.4
106.8505509,28,5.1
123.8744302,58,10.6
130.7266051,30,11.4
118.4440935,31,7.5
108.4165141,23,4
102.1383151,31,6.4
121.3681037,53,11.3
132.8520117,58,10.2
122.8831442,42,7.9
119.4764447,37,7.8
121.225892,31,7.9
130.2858746,25,10.2
106.095386,38,8.4
136.5013855,46,11.7
118.725062,30,8.9
121.2530842,40,8.6
104.274211,30,4.5
122.7098248,43,8.1
113.8076378,36,7.3
127.5925188,49,10
126.5465751,37,11
129.686064,36,12.9
139.4500526,44,12.4
129.0545001,53,10.1
112.9713112,30,4.1
117.9757697,39,7.9
123.6250137,32,8
140.1270953,48,11.5
121.1425894,28,9.3
126.7852444,59,12.4
115.7532422,54,7.7
129.8797938,50,11.7
121.9084025,48,8.9
129.3615249,37,8.8
121.2692805,44,9.4
133.5150233,59,11.9
122.4615797,46,9.6
116.7022535,58,7.6
125.1702883,34,9.6
135.1410735,52,11
116.1565919,32,7.3
128.2142116,47,9.9
126.4443001,42,9.3
123.6238664,32,8.3
131.5780272,45,12.7
136.2844061,61,10.9
129.0452163,61,11.7
125.1710792,32,10.2
132.7202513,34,10.2
145.4704195,64,14
114.6500406,48,8.6
139.534645,62,15.4
115.0596047,41,9.1
133.959236,38,12.3
116.3742043,50,7.3
117.3705734,27,7.3
134.7607886,46,12
